item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
nan,Carrot,Ice Cream,Orange,Green Beans,Vinegar,Spaghetti Sauce,nan,nan,Farro,Flax Seeds
Yeast,Beans,Orange,Corn,Frozen Vegetables,nan,Mangoes,Corn,Pasta,Flour,Cucumber
Chips,Eggplant,Plums,nan,Rice,Almond Milk,nan,Soy Sauce,Flax Seeds,Pasta,Lime
Lemon,Plums,Apple,Dried Fruit,Oats,Canned Tomatoes,Beans,nan,Flour,Salsa,Bread
Banana,Yogurt,Relish,Blueberries,nan,Salsa,Corn,Eggs,Mangoes,Powdered Sugar,Rice
Farro,Cereal,Cereal,Soy Milk,Couscous,Peas,Mayonnaise,Frozen Fish,Blackberries,Soy Sauce,Peaches
Grapes,Breadcrumbs,Pears,Pickles,Olive Oil,Tea,Cantaloupe,Lime,Tea,nan,nan
Cereal,Sugar,Grapes,Waffles,Crackers,Flour,Cornstarch,Plums,Sour Cream,Sour Cream,Cucumber
Pancake Mix,Frozen Vegetables,Honeydew,Soy Milk,Watermelon,Oats,Maple Syrup,Canned Beans,Raspberries,Bread,Eggs
Maple Syrup,Peas,Avocado,Mangoes,Kale,Lemon,Waffles,nan,Blackberries,Lemon,nan
Yogurt,nan,Orange,Sugar,Asparagus,Cucumber,Honeydew,Yeast,Canned Tuna,Baking Soda,Green Beans
Orange,Whipped Cream,nan,Butter,Spaghetti Sauce,Relish,Honeydew,Soy Sauce,Breadcrumbs,Yeast,Chocolate
Cantaloupe,Flour,Couscous,nan,Frozen Shrimp,Baking Soda,Baking Powder,Watermelon,Soy Milk,Cantaloupe,Yogurt
Pasta,Chips,Cucumber,Peaches,nan,Frozen Fruits,Hot Sauce,nan,Banana,Tomato,Cornstarch
Beans,Hot Sauce,Couscous,Banana,Farro,Chicken,Nuts,Lentils,Cauliflower,Hot Sauce,Spaghetti Sauce
Garlic,Flax Seeds,Pasta,Rice,Watermelon,Ketchup,Carrot,Cucumber,Blackberries,Sour Cream,nan
Eggs,nan,Cantaloupe,Waffles,Lime,Canned Tuna,Whipped Cream,Canned Tomatoes,nan,Eggplant,nan
Strawberries,Avocado,Powdered Sugar,nan,Dried Fruit,Pepper,Ice Cream,Honey,Jam,Ice Cream,Dried Fruit
Cottage Cheese,Farro,Green Beans,Oats,Waffles,nan,Barley,Coffee,nan,Lentils,Pickles
Half and Half,Oats,Pineapple,Soy Milk,Cheese,Lemon,Heavy Cream,Cookies,Baking Powder,Chips,Plums
Salsa,Salt,Half and Half,Canned Tomatoes,Juice,nan,nan,nan,Zucchini,Orange,Chips
Banana,nan,Watermelon,Plums,Frozen Dinners,Fish,Pepper,Strawberries,Sugar,nan,nan
Orange,Lime,Mayonnaise,Baking Powder,Mushrooms,Watermelon,Frozen Fish,Chocolate,Water,Frozen Fish,Soy Milk
Asparagus,Flour,Pickles,Jam,Peanut Butter,Almond Milk,Pasta,Orange,Peaches,Pears,Oats
Heavy Cream,Tomato,Beef,Frozen Fish,Pineapple,Bread,Ice Cream,Honey,Vinegar,Lettuce,Dried Fruit
Zucchini,Bread,Raspberries,nan,Apple,Lentils,Onion,Mangoes,Chicken,Salt,Frozen Dinners
nan,Spinach,Banana,nan,Beef,Plums,Olive Oil,Chili Pepper,Farro,Mustard,Cantaloupe
nan,Garlic,Soy Sauce,Nuts,Potato,Cornstarch,Almond Milk,Peanut Butter,Carrot,Watermelon,Asparagus
Raspberries,Cereal,Fish,Juice,Lettuce,Milk,Salsa,Watermelon,Barley,Pancake Mix,Water
Brussels Sprouts,Relish,Tea,Mushrooms,Frozen Fish,Plums,Lettuce,Lime,Onion,Lime,Mustard
Spinach,Canned Soup,Quinoa,Pancake Mix,Eggs,Mangoes,Oats,Frozen Fish,Soda,Plums,Garlic
Salsa,Pepper,Spaghetti Sauce,Mushrooms,Watermelon,Soda,Beef,Ketchup,Dried Fruit,Cucumber,Rice
nan,Cereal,Heavy Cream,Dried Fruit,Water,Celery,Almond Milk,Cauliflower,Honeydew,Spinach,Canned Tomatoes
Watermelon,Sugar,Chips,Ice Cream,Onion,Kale,Spaghetti Sauce,Whipped Cream,Heavy Cream,Grapes,Kale
Baking Soda,Apple,Brussels Sprouts,Salsa,Chocolate,Peanut Butter,Baking Soda,Sour Cream,Pineapple,Pepper,Honeydew
Mangoes,Salsa,Eggs,Almond Milk,Chia Seeds,Lemon,Peaches,Soy Sauce,Cornstarch,Kale,Orange
Salsa,Pasta,Quinoa,Crackers,Pancake Mix,Hot Sauce,Spinach,Cantaloupe,Jam,Butter,Zucchini
nan,Potato,Canned Tuna,Grapes,Pepper,Cottage Cheese,Vinegar,Cauliflower,Beans,Lentils,Mushrooms
Jam,Bread,Mustard,Asparagus,Whipped Cream,Cheese,Honey,Sugar,Corn,Breadcrumbs,Orange
Powdered Sugar,Watermelon,Bread,Flax Seeds,Watermelon,Raspberries,Flax Seeds,Frozen Shrimp,Quinoa,Olive Oil,Chili Pepper
Chili Pepper,Canned Tomatoes,Quinoa,Whipped Cream,Lentils,Peaches,Pancake Mix,nan,Frozen Vegetables,Peaches,Bell Pepper
Frozen Fish,nan,Hot Sauce,Lime,Chia Seeds,Cookies,Frozen Shrimp,Green Beans,Canned Tomatoes,Corn,Baking Powder
Cantaloupe,Mushrooms,Mayonnaise,nan,Pepper,Frozen Pizza,Honeydew,nan,Radishes,Carrot,Honeydew
Peanut Butter,Orange,Pasta,Frozen Vegetables,Broccoli,Cornstarch,Beef,nan,Yeast,Vinegar,Banana
Coffee,Maple Syrup,Chicken,Avocado,Waffles,Lemon,Lettuce,Milk,Peanut Butter,Radishes,Ketchup
Cereal,Soy Sauce,Dried Fruit,Radishes,Waffles,Frozen Fruits,Honeydew,Peaches,Eggplant,Salsa,Vinegar
Sugar,nan,Flax Seeds,Brussels Sprouts,Cookies,nan,Cereal,nan,nan,Frozen Fish,Yeast
Asparagus,Salsa,Cauliflower,Cereal,Soy Milk,Chili Pepper,Mustard,Cucumber,nan,Baking Soda,Ketchup
Soy Sauce,Yogurt,Garlic,nan,Raspberries,Ketchup,Eggs,Frozen Fruits,nan,Flour,Waffles
Broccoli,Frozen Fish,Ketchup,nan,Lettuce,Plums,Eggs,Pineapple,Apple,Butter Milk,Lime
Eggs,Pancake Mix,Asparagus,nan,Flour,Honeydew,Cottage Cheese,Pears,Soy Milk,Peaches,Almond Milk
nan,Hot Sauce,Mayonnaise,nan,Cereal,Raspberries,Tomato,Pancake Mix,Banana,Pancake Mix,Pasta
nan,Chocolate,Honey,Lettuce,nan,Tea,Broccoli,nan,Juice,Orange,nan
Pasta,Green Beans,Chili Pepper,Fish,Radishes,Coconut Milk,Relish,Cantaloupe,Cucumber,Milk,Eggs
Pasta,Salsa,Vinegar,Zucchini,nan,Chocolate,Pasta,Chocolate,Eggs,nan,Cauliflower
Grapes,Cottage Cheese,Peas,Flax Seeds,Brown Sugar,Jam,Peaches,Farro,nan,Almond Milk,Milk
Spaghetti Sauce,nan,Coffee,Soy Sauce,Green Beans,Whipped Cream,Lentils,Lettuce,nan,Blueberries,Fish
Radishes,Lettuce,Yeast,Spinach,nan,Maple Syrup,Flax Seeds,Mayonnaise,Kale,Lime,Frozen Fruits
Peaches,Grapes,Baking Powder,nan,Milk,Cheese,Apple,Crackers,Pears,Eggs,nan
Butter,Maple Syrup,Cucumber,Strawberries,Olive Oil,Zucchini,nan,Canned Tuna,Chicken,Watermelon,Raspberries
Mushrooms,Broccoli,Lettuce,Brown Sugar,Fish,Rice,Tomato,Spaghetti Sauce,Asparagus,Crackers,Lime
nan,Coconut Milk,Pasta,Canned Tomatoes,Cucumber,Pears,Brown Sugar,Olive Oil,nan,nan,Peaches
Canned Soup,Oats,Brussels Sprouts,Salt,Mustard,Hot Sauce,Banana,Mayonnaise,nan,Pancake Mix,Lime
Olive Oil,Brown Sugar,Frozen Vegetables,Relish,Dried Fruit,Bread,nan,Frozen Pizza,Quinoa,Peas,Canned Soup
nan,Frozen Pizza,Carrot,Strawberries,Soy Milk,Canned Tomatoes,Grapes,Mushrooms,Flax Seeds,Asparagus,Barley
Breadcrumbs,Barley,Waffles,Cottage Cheese,nan,Almond Milk,Nectarines,Frozen Fish,Barley,Whipped Cream,Tea
Coconut Milk,Baking Soda,nan,Yeast,Pancake Mix,Cauliflower,nan,Potato,Baking Powder,Banana,Canned Soup
Blueberries,Almond Milk,Banana,Oats,Pickles,Chicken,nan,Relish,Beef,Tea,Zucchini
Oats,Peanut Butter,Cereal,Lentils,Dried Fruit,Banana,Chia Seeds,Pepper,Barley,Frozen Vegetables,Orange
nan,Pasta,Chili Pepper,Brown Sugar,Blueberries,Bread,Whipped Cream,nan,Pears,Plums,Celery
Canned Tuna,Mangoes,Ice Cream,Canned Tomatoes,Radishes,Sour Cream,Hot Sauce,Pepper,Canned Beans,Carrot,Baking Powder
Flour,Mustard,Celery,Chili Pepper,nan,Plums,Kale,Frozen Fruits,nan,Canned Tuna,Powdered Sugar
Asparagus,Yeast,Brussels Sprouts,nan,nan,nan,Zucchini,nan,nan,Blueberries,Flour
Coffee,Yeast,Beef,Peas,Pasta,Cantaloupe,Lemon,Flax Seeds,Salsa,Apple,Spinach
Baking Soda,Avocado,Whipped Cream,Cheese,nan,nan,Pickles,Coconut Milk,Broccoli,Cornstarch,Cookies
Lentils,Zucchini,Mushrooms,Plums,Lime,nan,Peanut Butter,Mustard,Ketchup,Chili Pepper,Asparagus
Rice,Spinach,Ice Cream,nan,Pears,Water,Apple,Brussels Sprouts,Soy Milk,Lettuce,Yeast
Chocolate,Bread,Juice,Nectarines,nan,Chicken,Ketchup,Carrot,Waffles,Sour Cream,Lemon
Asparagus,Lemon,Farro,Couscous,Broccoli,Canned Beans,Banana,Coffee,Beans,Yeast,Almond Milk
Canned Beans,Soy Sauce,nan,Salsa,Water,Tea,Ketchup,Lime,Lentils,nan,Cereal
Tea,Waffles,Spaghetti Sauce,nan,Raspberries,nan,Frozen Vegetables,Chili Pepper,Beef,Coffee,Chips
nan,Cornstarch,Radishes,Canned Soup,Banana,Cauliflower,Apple,Spaghetti Sauce,Hot Sauce,Pasta,Raspberries
nan,Beans,Nuts,Banana,Soy Milk,Raspberries,nan,Soy Milk,Soy Sauce,Oats,Onion
Mustard,Chicken,Corn,Powdered Sugar,Cucumber,Fish,Waffles,nan,Kale,nan,Avocado
Cheese,Butter Milk,Chicken,Cucumber,nan,Strawberries,Flour,Lemon,Eggplant,Cauliflower,Baking Soda
Baking Soda,Spinach,Strawberries,Soda,Honey,Canned Tomatoes,Soy Milk,Orange,Honey,Mushrooms,Breadcrumbs
Barley,Frozen Pizza,Barley,Hot Sauce,Mangoes,Powdered Sugar,nan,Lime,Mayonnaise,Farro,Soda
Mustard,Spinach,nan,Jam,Onion,Sour Cream,Cheese,Potato,Cantaloupe,Oats,Vinegar
Frozen Shrimp,Tomato,Garlic,Mangoes,Pineapple,Almond Milk,Coffee,Breadcrumbs,Chicken,Plums,Canned Beans
Carrot,nan,Peanut Butter,Chocolate,Beef,Frozen Pizza,Dried Fruit,Maple Syrup,Raspberries,Pears,Green Beans
nan,Plums,Maple Syrup,Avocado,Crackers,Vinegar,Avocado,Breadcrumbs,nan,Pepper,Honey
Jam,Garlic,Banana,Chili Pepper,Spinach,Ketchup,Celery,Coconut Milk,Canned Tomatoes,Crackers,Avocado
Banana,nan,Frozen Pizza,Frozen Fish,Onion,Pineapple,nan,Canned Beans,Strawberries,Half and Half,Lime
Chia Seeds,nan,Lime,Flax Seeds,Corn,Chia Seeds,Honeydew,Eggplant,Pancake Mix,Brussels Sprouts,Pepper
Juice,Banana,nan,Juice,Canned Soup,Asparagus,Broccoli,Radishes,Water,Brown Sugar,Sour Cream
Pepper,Quinoa,Juice,Honeydew,Tomato,Strawberries,nan,Frozen Pizza,Maple Syrup,Hot Sauce,nan
Oats,Beans,Cereal,Banana,Lentils,nan,Frozen Dinners,Frozen Vegetables,Almond Milk,Pepper,Brown Sugar
nan,Blackberries,Lime,Avocado,Heavy Cream,Soda,Relish,Radishes,Salt,Banana,Canned Tuna
Mangoes,nan,Olive Oil,Breadcrumbs,Onion,Cucumber,Cauliflower,Fish,Chia Seeds,Zucchini,Pepper
Farro,Waffles,Lentils,Lime,Coffee,Cauliflower,Honeydew,Relish,Canned Tuna,Almond Milk,Canned Tuna
Butter,Brussels Sprouts,Orange,Rice,Chicken,Onion,Plums,Heavy Cream,Frozen Vegetables,Plums,Almond Milk
Quinoa,Blueberries,Yeast,nan,Canned Tomatoes,Baking Powder,Cheese,Pickles,Spinach,Canned Beans,Salt
Coconut Milk,Mangoes,Beef,nan,Dried Fruit,Soda,Ketchup,Carrot,Cereal,Chia Seeds,Canned Tuna
Jam,Frozen Vegetables,nan,Grapes,Pancake Mix,Garlic,Canned Tuna,Blueberries,Baking Soda,Relish,Green Beans
Fish,Lime,Eggs,Cornstarch,Watermelon,Rice,Beans,Frozen Dinners,Onion,Peaches,Coconut Milk
Kale,nan,Cottage Cheese,Nectarines,Bread,nan,Jam,Milk,Beans,Frozen Vegetables,Bread
Frozen Fish,Plums,Tea,nan,nan,Rice,Cornstarch,Green Beans,Pepper,Chicken,Barley
Chicken,Pancake Mix,Hot Sauce,Waffles,Milk,Whipped Cream,Waffles,Nectarines,Soda,Lemon,Flax Seeds
Flour,Flax Seeds,nan,Pickles,Soy Milk,Milk,Canned Tomatoes,Tomato,Dried Fruit,Fish,Canned Tuna
Pancake Mix,Sugar,Spinach,Apple,Pepper,nan,Peas,Soda,Lentils,Celery,Vinegar
Crackers,Nectarines,Coconut Milk,Coconut Milk,Mushrooms,Cereal,Oats,Apple,Juice,Dried Fruit,nan
Almond Milk,Frozen Vegetables,Almond Milk,Flour,Grapes,nan,Tea,Tea,Lettuce,Broccoli,Whipped Cream
Frozen Shrimp,Vinegar,Baking Powder,Cereal,nan,Olive Oil,nan,Waffles,Cauliflower,Beans,Barley
Orange,nan,Frozen Fruits,Coffee,Radishes,Pancake Mix,Powdered Sugar,nan,Spaghetti Sauce,Vinegar,Soy Milk
Chips,Half and Half,Baking Soda,Pancake Mix,Cereal,nan,Almond Milk,Quinoa,Flax Seeds,Apple,Frozen Pizza
Chili Pepper,Pineapple,Green Beans,Crackers,Oats,Nuts,nan,Waffles,Lime,Canned Tomatoes,Nuts
Mayonnaise,Cheese,Cereal,Sugar,Garlic,Tomato,Sugar,Waffles,Grapes,Eggplant,Honey
Pancake Mix,Yogurt,Beef,Oats,Sugar,Grapes,nan,Blackberries,Sour Cream,Tea,Brown Sugar
Half and Half,nan,Orange,Cottage Cheese,Hot Sauce,Pears,Frozen Shrimp,Yogurt,Eggs,nan,Relish
Ketchup,Nuts,Peanut Butter,Heavy Cream,Whipped Cream,Watermelon,Eggplant,Honeydew,Mustard,nan,Ketchup
nan,Cereal,Frozen Fruits,Half and Half,Yeast,Carrot,Coconut Milk,Strawberries,Cucumber,Brussels Sprouts,Nuts
Peas,Vinegar,Carrot,Watermelon,Broccoli,nan,Green Beans,Bread,nan,Canned Tomatoes,nan
Cereal,Water,Yeast,Peaches,Couscous,Kale,Cucumber,Salt,Canned Tuna,Canned Tuna,Frozen Fruits
Plums,nan,Blueberries,nan,Chocolate,Soy Sauce,Lime,Corn,Asparagus,Powdered Sugar,Canned Tuna
Orange,Rice,Plums,nan,Cheese,nan,Frozen Fish,Eggplant,Banana,Couscous,Pepper
nan,Tomato,Sugar,Olive Oil,Grapes,Frozen Fish,Flax Seeds,Cantaloupe,Apple,Strawberries,Cereal
Bell Pepper,Juice,Frozen Dinners,nan,Canned Beans,Water,Tomato,Green Beans,Quinoa,Water,Quinoa
Mangoes,Green Beans,Cucumber,Barley,Kale,Corn,Mushrooms,Butter,Potato,Lemon,Butter Milk
Relish,Pancake Mix,Mayonnaise,nan,Sugar,Coffee,Cucumber,Cantaloupe,Whipped Cream,Spinach,Mangoes
Soy Sauce,Honeydew,Frozen Shrimp,nan,nan,Whipped Cream,nan,Juice,Eggs,Maple Syrup,Asparagus
Soda,Strawberries,Olive Oil,Mustard,Butter Milk,Heavy Cream,Half and Half,Banana,Nuts,Fish,Bread
Nectarines,Beans,Yogurt,Milk,Frozen Shrimp,Apple,nan,Dried Fruit,nan,nan,Pasta
Chips,Honey,Heavy Cream,Milk,Canned Tuna,nan,Dried Fruit,nan,Beef,Honeydew,Celery
Barley,Onion,Pancake Mix,Milk,Mangoes,Cucumber,Spinach,Broccoli,Beef,Cornstarch,Powdered Sugar
Peas,Cereal,Watermelon,Salsa,Honeydew,Salsa,nan,Oats,Vinegar,Ice Cream,Flour
Nectarines,Yeast,Plums,Radishes,Broccoli,Breadcrumbs,Juice,nan,Broccoli,Pasta,Tea
Baking Soda,Frozen Fruits,Cottage Cheese,Mustard,Beef,Tea,Cereal,Asparagus,Olive Oil,nan,Asparagus
Broccoli,Pickles,Celery,nan,Maple Syrup,nan,Pasta,Bread,Frozen Fish,Garlic,Beef
Rice,Vinegar,Whipped Cream,Frozen Fish,Canned Tuna,Banana,Spaghetti Sauce,Honey,Sugar,Waffles,Chili Pepper
Pepper,Crackers,Orange,Lime,nan,Quinoa,Chia Seeds,Fish,Chips,Eggplant,Nectarines
Frozen Vegetables,nan,Canned Soup,Flour,Beef,Frozen Fruits,Jam,nan,Coconut Milk,Pineapple,Cornstarch
Powdered Sugar,nan,Tea,Mushrooms,Nuts,Flour,Peanut Butter,Cornstarch,Corn,Jam,Cornstarch
Canned Tomatoes,Coconut Milk,Cottage Cheese,Heavy Cream,Soda,Crackers,nan,Heavy Cream,Radishes,Eggplant,Banana
Fish,Peanut Butter,Peaches,Beans,Quinoa,Coconut Milk,Pancake Mix,Frozen Vegetables,nan,Breadcrumbs,Ice Cream
Flour,nan,Cereal,Fish,Chia Seeds,Bell Pepper,Heavy Cream,Flour,Soy Sauce,Cornstarch,Cereal
Barley,Honey,Potato,Jam,Asparagus,Eggplant,Bell Pepper,Flour,Frozen Shrimp,Apple,Pasta
Grapes,nan,Heavy Cream,Peaches,Flax Seeds,Nuts,Orange,Beans,Spaghetti Sauce,Peanut Butter,Ketchup
Chicken,Breadcrumbs,Mangoes,Frozen Shrimp,Jam,nan,Orange,Frozen Dinners,Corn,Vinegar,Spinach
Whipped Cream,Ice Cream,Coconut Milk,Cottage Cheese,Eggplant,Chia Seeds,Asparagus,Couscous,Mangoes,Farro,Carrot
Water,Strawberries,Beans,Heavy Cream,Kale,Apple,Tea,Canned Beans,nan,nan,Avocado
Breadcrumbs,Bell Pepper,Cantaloupe,Frozen Pizza,Honey,Frozen Dinners,Yeast,Frozen Dinners,Sugar,Dried Fruit,Canned Beans
Frozen Fruits,Mushrooms,Salsa,Heavy Cream,Soy Sauce,Chili Pepper,Sugar,Butter Milk,Hot Sauce,Frozen Shrimp,Butter Milk
Raspberries,Pancake Mix,Maple Syrup,Radishes,nan,Mangoes,Bread,Baking Powder,Soy Milk,Dried Fruit,Oats
Pepper,Pears,nan,Heavy Cream,nan,Beef,Strawberries,Brown Sugar,nan,Cauliflower,Brussels Sprouts
Baking Soda,Maple Syrup,nan,Chips,Dried Fruit,Soy Sauce,Corn,Cereal,Chia Seeds,Honeydew,Apple
Yogurt,Cheese,nan,nan,Yeast,Peaches,Mayonnaise,Butter,Soy Milk,Rice,Asparagus
Fish,Coconut Milk,Waffles,Nectarines,Pickles,Banana,Brussels Sprouts,Pineapple,Relish,Broccoli,Spaghetti Sauce
Plums,Chia Seeds,Bread,Cookies,Frozen Shrimp,Lettuce,nan,Banana,Sugar,Jam,Lime
nan,Baking Powder,Butter,Pancake Mix,Plums,Strawberries,Quinoa,Canned Tuna,Pepper,Chocolate,Juice
Pepper,Milk,Olive Oil,Plums,Avocado,Nectarines,Soda,Bread,Radishes,Bread,Soy Sauce
Milk,Eggs,nan,Frozen Pizza,nan,Hot Sauce,Sour Cream,Frozen Pizza,Hot Sauce,Butter Milk,Ketchup
Heavy Cream,Coffee,Olive Oil,Blackberries,Chili Pepper,Watermelon,Carrot,Milk,Quinoa,Frozen Fish,Cookies
Celery,Cottage Cheese,Canned Tomatoes,Nectarines,nan,Spinach,Raspberries,Water,Apple,Lentils,Soy Sauce
Spinach,Chia Seeds,Sugar,Yeast,nan,Apple,Baking Powder,Salsa,Raspberries,nan,Barley
Brussels Sprouts,Blueberries,Bell Pepper,Soy Sauce,nan,Almond Milk,Canned Tuna,Lemon,Chili Pepper,nan,Salt
Chips,Canned Tuna,Carrot,Frozen Shrimp,Canned Soup,Butter Milk,Frozen Fruits,Frozen Vegetables,Peaches,Spaghetti Sauce,Water
Coffee,Pepper,Mustard,Honeydew,Couscous,Frozen Fruits,Eggplant,Fish,Nuts,Kale,Mangoes
Relish,Waffles,Pancake Mix,Chicken,Peas,Brussels Sprouts,nan,Watermelon,Sour Cream,Pineapple,Peanut Butter
Jam,Canned Beans,nan,Frozen Fish,Canned Tomatoes,Radishes,Frozen Pizza,Peas,Yogurt,Heavy Cream,Frozen Shrimp
Vinegar,Coffee,Butter,Butter,Pears,Broccoli,Lettuce,Cheese,Chicken,Radishes,Pears
Frozen Fruits,Tomato,Ketchup,Lettuce,Chia Seeds,Eggplant,Soda,Grapes,Sugar,Beans,Sour Cream
Honeydew,Canned Tuna,Chocolate,Garlic,Canned Beans,Heavy Cream,Frozen Shrimp,Banana,Cereal,Beef,nan
nan,Honeydew,Olive Oil,Milk,Watermelon,Mayonnaise,Heavy Cream,Peanut Butter,Frozen Pizza,Raspberries,Lemon
Pancake Mix,Coffee,Pears,Olive Oil,Celery,Spaghetti Sauce,Barley,Breadcrumbs,Canned Beans,Maple Syrup,Yeast
Ketchup,Lime,Ice Cream,Plums,Canned Beans,Plums,Peanut Butter,Canned Tuna,Frozen Vegetables,Almond Milk,nan
Soda,Milk,nan,Spaghetti Sauce,Jam,Onion,Salt,Pickles,Chia Seeds,Chicken,Rice
Bread,Potato,Raspberries,Soy Sauce,nan,Frozen Vegetables,Frozen Pizza,Baking Soda,Rice,Radishes,Peanut Butter
Whipped Cream,Butter Milk,Raspberries,Cheese,Chicken,Frozen Shrimp,Frozen Fish,Mangoes,Hot Sauce,Frozen Fruits,Peanut Butter
nan,Nectarines,Broccoli,Blueberries,Whipped Cream,Canned Beans,Hot Sauce,Lemon,Frozen Fish,Oats,Nectarines
Sour Cream,Canned Tomatoes,Zucchini,Soda,Strawberries,Chocolate,Coffee,Potato,Potato,Orange,Lentils
Sour Cream,Plums,Baking Soda,Peanut Butter,Rice,Beans,Beans,Coffee,Milk,Crackers,Cookies
Bread,Olive Oil,nan,Blackberries,Lime,Nectarines,Banana,Peas,Honeydew,nan,nan
Heavy Cream,Baking Powder,Breadcrumbs,Frozen Fruits,Cottage Cheese,Sour Cream,nan,Peaches,Sour Cream,Chia Seeds,Brown Sugar
Nectarines,Brussels Sprouts,Heavy Cream,Sour Cream,Eggplant,Pineapple,Cottage Cheese,Vinegar,Relish,Chili Pepper,Nectarines
Orange,Honeydew,Coconut Milk,nan,Cookies,Juice,Garlic,Yeast,nan,nan,nan
Garlic,nan,Sugar,Powdered Sugar,Baking Powder,Blueberries,Quinoa,Heavy Cream,Pasta,Grapes,Celery
nan,Waffles,Chili Pepper,Lettuce,Milk,Bread,Lentils,Butter,Radishes,Water,Salsa
Frozen Pizza,Milk,nan,Eggs,Oats,nan,Mayonnaise,nan,Flour,Salsa,Flour
Cauliflower,Spinach,nan,Pasta,Pineapple,Honey,Cheese,Flour,Plums,nan,Baking Powder
Soda,nan,Grapes,Ice Cream,Soy Sauce,Beef,Pears,Mustard,Lemon,nan,Spinach
Sugar,Orange,Water,Cornstarch,Banana,Barley,nan,Honey,Broccoli,Bell Pepper,Bread
Cookies,Breadcrumbs,Crackers,Garlic,Salt,Asparagus,Orange,Asparagus,nan,Garlic,Cauliflower
Breadcrumbs,Coffee,Tea,Yogurt,Canned Soup,Cornstarch,Green Beans,Frozen Shrimp,Butter Milk,Kale,Dried Fruit
nan,Olive Oil,Pasta,Flax Seeds,Waffles,Corn,Eggplant,Dried Fruit,Cornstarch,Mustard,Broccoli
Vinegar,Frozen Fruits,Whipped Cream,Cookies,nan,Spaghetti Sauce,Green Beans,Spaghetti Sauce,Oats,Grapes,nan
Lemon,Honeydew,nan,Chocolate,Strawberries,Pickles,Oats,Quinoa,Couscous,Watermelon,Chia Seeds
Cantaloupe,Jam,Half and Half,Nectarines,Quinoa,Mayonnaise,Relish,Relish,Fish,Ketchup,Mayonnaise
Canned Soup,Potato,Crackers,Couscous,Chocolate,Asparagus,Coffee,Canned Tomatoes,Corn,Cantaloupe,Milk
Cornstarch,Butter Milk,Sugar,Couscous,nan,Broccoli,nan,Canned Tomatoes,Kale,Cottage Cheese,nan
Farro,Spinach,Plums,nan,Pasta,Chicken,Canned Soup,Mangoes,Sour Cream,Peas,Canned Beans
Salsa,Lettuce,Mustard,Radishes,nan,Plums,Quinoa,Ice Cream,Mustard,Brussels Sprouts,Peas
Lentils,Vinegar,Chili Pepper,Watermelon,Rice,Whipped Cream,Hot Sauce,Canned Soup,Spinach,nan,Mushrooms
Tea,Spinach,Plums,Mangoes,Blueberries,Beef,Soy Sauce,nan,Apple,Mushrooms,Frozen Dinners
nan,Pasta,nan,Avocado,nan,Cauliflower,Nectarines,nan,Chili Pepper,Ketchup,Zucchini
Pickles,Frozen Fish,Canned Tomatoes,Chia Seeds,Beans,Mangoes,Cauliflower,Eggplant,Grapes,nan,Strawberries
Watermelon,Coconut Milk,Quinoa,Nuts,nan,Beef,Cornstarch,Cereal,Pasta,Cookies,Banana
Eggplant,Tea,nan,Barley,Frozen Fruits,nan,Heavy Cream,Pears,Lettuce,Soy Milk,Vinegar
Crackers,Milk,Ice Cream,nan,nan,Pickles,Grapes,Garlic,Lettuce,Strawberries,Orange
Pancake Mix,Crackers,nan,Maple Syrup,Zucchini,Frozen Shrimp,Cauliflower,Frozen Vegetables,Chocolate,Milk,Apple
Heavy Cream,Salt,Brown Sugar,Milk,Pears,Eggs,Pepper,Canned Soup,Vinegar,Soy Sauce,Canned Tomatoes
Peaches,Heavy Cream,Pickles,nan,Avocado,Pasta,Brown Sugar,Beef,Kale,Waffles,Lettuce
Garlic,Pasta,Pepper,Butter Milk,Corn,Cookies,Lettuce,Pickles,Salsa,Kale,Eggplant
nan,Watermelon,Eggplant,Celery,Barley,Waffles,Brussels Sprouts,Baking Powder,nan,Plums,Potato
Frozen Vegetables,Pancake Mix,Asparagus,Frozen Fruits,Whipped Cream,Celery,Garlic,Banana,Soy Sauce,Flour,Peanut Butter
Tomato,Zucchini,Brown Sugar,Lemon,Butter,Pepper,Sour Cream,Mustard,Avocado,Coffee,Relish
Peanut Butter,Beef,Watermelon,Cornstarch,Zucchini,Blackberries,Beef,nan,Oats,Mayonnaise,Vinegar
Coffee,Almond Milk,Blackberries,Avocado,Yogurt,Flax Seeds,nan,Chili Pepper,Cereal,Mustard,Celery
Watermelon,Brussels Sprouts,Yeast,Cantaloupe,Garlic,Milk,Salt,Sugar,Mayonnaise,Frozen Fish,Cucumber
Nectarines,Mangoes,Corn,Pancake Mix,Potato,Yogurt,Cottage Cheese,Milk,nan,Baking Powder,Cereal
Nectarines,Juice,Blackberries,Pineapple,Lime,Maple Syrup,Spaghetti Sauce,Coffee,Beef,nan,Cauliflower
Grapes,Blueberries,Blueberries,Half and Half,Oats,Soy Milk,Nectarines,Kale,Mayonnaise,Canned Beans,Radishes
nan,Fish,Corn,nan,Chicken,Cheese,Eggplant,Brussels Sprouts,Chia Seeds,Crackers,Honey
nan,Cornstarch,Butter,Eggs,Frozen Dinners,Milk,nan,Onion,Nectarines,Chicken,Pickles
Tea,Chili Pepper,Quinoa,Frozen Shrimp,Banana,Hot Sauce,Juice,nan,Dried Fruit,Green Beans,Radishes
